epoch,total_epochs,step,total_loss,content_loss,style_loss,tv_loss,vis_image,checkpoint
1,20,50,17.7697,10.3102,0.0001,0.3905,vis_50.png,checkpoints/transformer_epoch1_step500.pth
1,20,100,14.1965,8.8741,0.0,0.4033,vis_100.png,checkpoints/transformer_epoch1_step1000.pth
1,20,150,12.7345,9.2652,0.0,0.4247,vis_150.png,
1,20,200,10.8214,7.7158,0.0,0.4261,vis_200.png,checkpoints/transformer_epoch1_step2000.pth
1,20,250,11.5721,8.2206,0.0,0.4212,vis_250.png,checkpoints/transformer_epoch1_step2500.pth
1,20,300,11.1453,7.959,0.0,0.4233,vis_300.png,checkpoints/transformer_epoch1_step3000.pth
1,20,350,10.5814,7.302,0.0,0.4254,vis_350.png,checkpoints/transformer_epoch1_step3500.pth
1,20,400,10.0408,7.0122,0.0,0.4159,vis_400.png,
1,20,450,9.7494,6.8001,0.0,0.4432,vis_450.png,checkpoints/transformer_epoch1_step4500.pth
1,20,500,11.0095,8.0757,0.0,0.418,vis_500.png,checkpoints/transformer_epoch1_step500.pth
1,20,550,9.1989,6.5513,0.0,0.4345,vis_550.png,checkpoints/transformer_epoch1_step5500.pth
1,20,600,9.953,7.132,0.0,0.4278,vis_600.png,checkpoints/transformer_epoch1_step6000.pth
1,20,650,9.0743,6.3627,0.0,0.4318,vis_650.png,
1,20,700,9.9116,7.2762,0.0,0.4166,vis_700.png,checkpoints/transformer_epoch1_step7000.pth
1,20,750,8.873,6.316,0.0,0.4256,vis_750.png,checkpoints/transformer_epoch1_step7500.pth
1,20,800,8.749,6.5684,0.0,0.4389,vis_800.png,checkpoints/transformer_epoch1_step8000.pth
1,20,850,8.9036,6.5001,0.0,0.4171,vis_850.png,checkpoints/transformer_epoch1_step8500.pth
1,20,900,9.2226,6.6365,0.0,0.4294,vis_900.png,checkpoints/transformer_epoch1_step9000.pth
1,20,950,8.6635,6.2206,0.0,0.4186,vis_950.png,checkpoints/transformer_epoch1_step9500.pth
1,20,1000,8.9974,6.6078,0.0,0.4331,vis_1000.png,checkpoints/transformer_epoch1_step1000.pth
1,20,1050,8.8902,6.4134,0.0,0.4214,vis_1050.png,
1,20,1100,8.5138,6.0968,0.0,0.4279,vis_1100.png,
1,20,1150,9.0817,6.6505,0.0,0.429,vis_1150.png,
1,20,1200,8.6351,6.1521,0.0,0.4177,vis_1200.png,
1,20,1250,8.2521,5.717,0.0,0.4232,vis_1250.png,
1,20,1300,8.2406,5.5775,0.0,0.4243,vis_1300.png,
1,20,1350,9.0823,6.346,0.0,0.4215,vis_1350.png,
1,20,1400,7.9566,5.3751,0.0,0.4071,vis_1400.png,
1,20,1650,8.1464,5.8323,0.0,0.4248,vis_1650.png,
1,20,1700,8.4031,5.5243,0.0,0.4297,vis_1700.png,
1,20,1950,7.8257,5.5373,0.0,0.4201,vis_1950.png,
1,20,2000,7.938,5.7369,0.0,0.4247,vis_2000.png,checkpoints/transformer_epoch1_step2000.pth
1,20,2050,8.0222,5.7604,0.0,0.4261,vis_2050.png,
1,20,2100,7.5957,5.3654,0.0,0.4262,vis_2100.png,
1,20,2150,7.9371,5.7068,0.0,0.4305,vis_2150.png,
1,20,2200,8.0651,5.6491,0.0,0.4396,vis_2200.png,
